Label,Latitude,Longitude,Latitude (decimal),Longitude (decimal)
SAL,"16° 44,07'","-22° 56,64'","16,7345","-22,9440"
north_ec,"15° 0,00'","-30° 41,25'","15,0000","-30,6875"
south_ec,"4° 0,00'","-32° 46,76'","4,0000","-32,7794"
circle_south,"5° 0,00'","-32° 35,14'","5,0000","-32,5857"
earthcare,"6° 55,55'","-32° 13,38'","6,9258","-32,2230"
circle_center,"8° 51,07'","-31° 51,44'","8,8511","-31,8574"
circle_north,"12° 42,00'","-31° 6,83'","12,7000","-31,1138"
north_ec,"15° 0,00'","-30° 41,25'","15,0000","-30,6875"
atr,"17° 48,00'","-22° 0,00'","17,8000","-22,0000"
SAL,"16° 44,07'","-22° 56,64'","16,7345","-22,9440"
